Body,Body Name,Transaction No,Invoice Ref.,Vendor Name,Expense,Expense Type,Payment Date,Amount,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010865,15416,SSG Marketing Limited,R6280-GBD001,Grants,08/02/2013,£457.92,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010865,15416,SSG Marketing Limited,R6280-GBD001,Grants,08/02/2013,£316.80,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010658,2762,System Six Design & Build,R2083-DRM012,R&M of Build - Routine,01/02/2013,£400.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010658,2762,System Six Design & Build,R2083-DRM012,R&M of Build - Routine,01/02/2013,£400.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010957,2815,System Six Design & Build,R2008-CUL102,R & M of Build - Reactive Repairs,08/02/2013,£294.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010957,2815,System Six Design & Build,R2008-CUL102,R & M of Build - Reactive Repairs,08/02/2013,£294.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011061,2841,System Six Design & Build,R2085-OPS002,R&M of Fix & Fit - Internal,15/02/2013,£245.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011061,2841,System Six Design & Build,R2085-OPS002,R&M of Fix & Fit - Internal,15/02/2013,£245.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010760,DEBT101906,Tewkesbury Borough Council,R9103-BUC001,Partnership Recharge Recovered,08/02/2013,"-£4,303.99",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010760,DEBT101906,Tewkesbury Borough Council,R4401-BUC001,Services - Fees and Charges,08/02/2013,"£15,892.97",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010759,DEBT101912,Tewkesbury Borough Council,R4400-SUP004,Services - Professional Fees,08/02/2013,"£112,498.74",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011236,DEBT101940,Tewkesbury Borough Council,R4420-HRA110,Legal Expenses And Court Costs,25/02/2013,"£6,376.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010238,52351,Tewkesbury Printing Company Limited,R4308-ADB102,Stationery,15/02/2013,£777.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010678,149A LECKHAMPTON ROAD,The Surveying Practice - Client Account,C5000-CAP221,Grants,01/02/2013,"£6,394.50",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010689,18 GILBERT WARD COURT,The Surveying Practice - Client Account,C1107-CAH028,Building Works,01/02/2013,"£6,492.38",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011343,21SOUTHFIELD APP,The Surveying Practice - Client Account,C5000-CAP221,Grants,25/02/2013,"£6,457.50",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010677,34 GOLDFOOT HOUSE,The Surveying Practice - Client Account,C1107-CAH028,Building Works,01/02/2013,"£6,661.13",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011333,38 TANNERS RD,The Surveying Practice - Client Account,C1107-CAH028,Building Works,25/02/2013,"£9,301.50",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010869,3IN/10214748,Tunstall Healthcare (UK) Limited,R4000-SPP002,Equipment Purchase,15/02/2013,£899.40,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010868,3IN/10215133,Tunstall Healthcare (UK) Limited,R4000-SPP002,Equipment Purchase,25/02/2013,"£1,498.80",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010728,3760,TV & Theatre Services,R2010-CUL102,R & M of Plant Lifts,08/02/2013,£620.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R2075-ESR001,Grounds Maintenance - Contract,01/02/2013,"£27,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-OPS101,TPP - Major External Contractors,01/02/2013,"£18,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-OPS001,TPP - Major External Contractors,01/02/2013,"£54,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-RYC005,TPP - Major External Contractors,01/02/2013,"£13,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-TRW001,TPP - Major External Contractors,01/02/2013,"£56,350.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-RYC006,TPP - Major External Contractors,01/02/2013,"£90,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-STC001,TPP - Major External Contractors,01/02/2013,"£70,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-RYC002,TPP - Major External Contractors,01/02/2013,"£29,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-REG019,TPP - Major External Contractors,01/02/2013,"£5,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-OPS001,TPP - Major External Contractors,01/02/2013,"£55,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-OPS102,TPP - Major External Contractors,01/02/2013,"£21,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-WST001,TPP - Major External Contractors,01/02/2013,"£73,650.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R5001-RYC004,TPP - Major External Contractors,01/02/2013,"£27,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010408,60000675,Ubico Limited,R2071-HRA110,Open Spaces and Grassed Areas,01/02/2013,"£28,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011135,60000719,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011136,60000728,Ubico Limited,R2700-CPK001,Contract Cleaning,25/02/2013,£172.51,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010862,60000764,Ubico Limited,R2075-ENF101,Grounds Maintenance - Contract,25/02/2013,"£1,900.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010720,USS 016527,Unique Sound Systems Limited (USS),R4001-CUL110,Tools & Equipment - Hire,08/02/2013,"£5,280.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010859,SOI0023842,Valuation Office Agency (VOA),R2705-CUL103,Security Systems,08/02/2013,£465.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010854,SOI0023845,Valuation Office Agency (VOA),R2705-CUL102,Security Systems,08/02/2013,£780.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010856,SOI0023846,Valuation Office Agency (VOA),R2705-ADB101,Security Systems,08/02/2013,"£1,474.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£1.08,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£12.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£139.92,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£43.75,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£20.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£19.80,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£55.30,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£22.70,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£67.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£16.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£111.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£27.67,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£95.67,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£26.08,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£43.10,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£91.20,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£139.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£219.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK103,Services - Fees and Charges,15/02/2013,£25.17,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£68.70,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£47.20,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£11.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£11.80,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£74.17,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£137.08,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£218.42,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£78.33,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£7.90,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK001,Services - Fees and Charges,15/02/2013,£255.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011122,CHL00161,Verrus (UK) Limited (Pay By Phone),R4401-CPK012,Services - Fees and Charges,15/02/2013,£2.90,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010944,4000574,XN Leisure Systems Limited,R4401-REC101,Services - Fees and Charges,25/02/2013,£750.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010944,4000574,XN Leisure Systems Limited,R4531-REC101,IT - Purchase of Software,25/02/2013,"£1,600.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011196,1800002265,Zurich Insurance plc (Zurich Municipal),R4531-SUP035,IT - Purchase of Software,15/02/2013,"£2,000.00",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
